,levenshtein_similarity,jaccard_similarity,cosine_similarity,word_error_rate,exact_match,clause_level_precision,clause_level_recall,clause_level_f1,bleu_score,rouge_1,rouge_2,rouge_l
phi,0.091,0.058,0.1,0.005,0.0,0.104,0.432,0.161,0.014,0.308,0.196,0.257
lfm,0.228,0.094,0.149,0.014,0.0,0.319,0.412,0.332,0.057,0.517,0.336,0.463
gemma_1,0.245,0.071,0.112,0.015,0.0,0.299,0.384,0.316,0.035,0.497,0.279,0.451
gemma_2,0.07,0.055,0.098,0.004,0.0,0.09,0.447,0.146,0.011,0.272,0.163,0.235
llama,0.145,0.022,0.035,0.009,0.0,0.038,0.107,0.051,0.002,0.151,0.065,0.126
mistral,0.083,0.052,0.079,0.005,0.0,0.091,0.432,0.148,0.008,0.285,0.177,0.237
