,levenshtein_similarity,jaccard_similarity,cosine_similarity,word_error_rate,exact_match,clause_level_precision,clause_level_recall,clause_level_f1,bleu_score,rouge_1,rouge_2,rouge_l
phi,0.058,0.056,0.114,0.002,0.0,0.108,0.369,0.163,0.005,0.405,0.183,0.271
lfm,0.101,0.081,0.181,0.003,0.0,0.323,0.365,0.325,0.012,0.506,0.252,0.375
gemma_1,0.148,0.069,0.096,0.004,0.0,0.343,0.348,0.335,0.015,0.464,0.222,0.369
gemma_2,0.057,0.052,0.129,0.002,0.0,0.092,0.369,0.145,0.003,0.394,0.165,0.268
llama,0.139,0.026,0.051,0.004,0.0,0.053,0.077,0.059,0.003,0.155,0.053,0.117
mistral,0.061,0.056,0.106,0.002,0.0,0.104,0.375,0.16,0.006,0.398,0.195,0.268
