,levenshtein_similarity,jaccard_similarity,cosine_similarity,word_error_rate,exact_match,clause_level_precision,clause_level_recall,clause_level_f1,bleu_score,rouge_1,rouge_2,rouge_l
phi,0.044,0.105,0.035,0.0,0.0,0.163,0.305,0.201,0.017,0.363,0.187,0.219
lfm,0.068,0.168,0.049,0.0,0.0,0.459,0.229,0.289,0.001,0.43,0.224,0.31
gemma_1,0.055,0.153,0.055,0.0,0.0,0.382,0.2,0.249,0.0,0.399,0.212,0.288
gemma_2,0.059,0.087,0.032,0.0,0.0,0.141,0.269,0.174,0.005,0.376,0.179,0.227
llama,0.038,0.012,0.003,0.0,0.0,0.045,0.032,0.035,0.0,0.084,0.035,0.065
mistral,0.054,0.092,0.023,0.0,0.0,0.153,0.275,0.187,0.007,0.338,0.167,0.209
