,levenshtein_similarity,jaccard_similarity,cosine_similarity,word_error_rate,exact_match,clause_level_precision,clause_level_recall,clause_level_f1,bleu_score,rouge_1,rouge_2,rouge_l
phi,0.084,0.057,0.023,0.002,0.0,0.07,0.263,0.109,0.0,0.206,0.052,0.172
lfm,0.115,0.213,0.171,0.003,0.0,0.384,0.325,0.347,0.0,0.393,0.199,0.379
gemma_1,0.2,0.207,0.137,0.006,0.0,0.362,0.333,0.343,0.0,0.391,0.191,0.383
gemma_2,0.113,0.058,0.051,0.003,0.0,0.069,0.376,0.116,0.0,0.208,0.069,0.159
llama,0.092,0.098,0.035,0.002,0.0,0.132,0.318,0.185,0.0,0.266,0.082,0.217
mistral,0.11,0.073,0.03,0.003,0.0,0.086,0.372,0.138,0.0,0.238,0.081,0.189
