,levenshtein_similarity,jaccard_similarity,cosine_similarity,word_error_rate,exact_match,clause_level_precision,clause_level_recall,clause_level_f1,bleu_score,rouge_1,rouge_2,rouge_l
phi,0.086,0.086,0.191,0.001,0.0,0.103,0.268,0.148,0.002,0.282,0.084,0.19
lfm,0.11,0.137,0.333,0.002,0.0,0.303,0.261,0.257,0.002,0.356,0.132,0.264
gemma_1,0.147,0.156,0.355,0.003,0.0,0.357,0.249,0.29,0.0,0.38,0.149,0.286
gemma_2,0.117,0.083,0.234,0.002,0.0,0.096,0.28,0.141,0.009,0.254,0.092,0.183
llama,0.063,0.02,0.032,0.001,0.0,0.036,0.038,0.034,0.0,0.122,0.037,0.09
mistral,0.091,0.081,0.149,0.002,0.0,0.096,0.282,0.142,0.003,0.242,0.076,0.167
