,levenshtein_similarity,jaccard_similarity,cosine_similarity,word_error_rate,exact_match,clause_level_precision,clause_level_recall,clause_level_f1,bleu_score,rouge_1,rouge_2,rouge_l
phi,0.096,0.076,0.082,0.003,0.0,0.111,0.401,0.167,0.008,0.333,0.172,0.252
lfm,0.179,0.15,0.144,0.007,0.0,0.364,0.37,0.342,0.02,0.497,0.277,0.421
gemma_1,0.211,0.149,0.128,0.008,0.0,0.342,0.36,0.334,0.013,0.488,0.263,0.419
gemma_2,0.089,0.068,0.092,0.003,0.0,0.094,0.402,0.148,0.006,0.315,0.155,0.242
llama,0.112,0.02,0.025,0.004,0.0,0.039,0.077,0.047,0.001,0.141,0.051,0.115
mistral,0.09,0.07,0.068,0.003,0.0,0.102,0.391,0.155,0.004,0.317,0.163,0.239
