,levenshtein_similarity,jaccard_similarity,cosine_similarity,word_error_rate,exact_match,clause_level_precision,clause_level_recall,clause_level_f1,bleu_score,rouge_1,rouge_2,rouge_l
phi,0.061,0.076,0.109,0.001,0.0,0.122,0.329,0.17,0.007,0.366,0.162,0.238
lfm,0.094,0.117,0.179,0.002,0.0,0.356,0.304,0.3,0.007,0.451,0.217,0.332
gemma_1,0.122,0.112,0.143,0.003,0.0,0.357,0.285,0.301,0.007,0.427,0.203,0.328
gemma_2,0.071,0.069,0.126,0.001,0.0,0.106,0.321,0.152,0.005,0.357,0.153,0.237
llama,0.094,0.021,0.033,0.002,0.0,0.047,0.056,0.047,0.001,0.128,0.045,0.096
mistral,0.066,0.071,0.093,0.001,0.0,0.116,0.327,0.164,0.006,0.346,0.161,0.229
