,levenshtein_similarity,jaccard_similarity,cosine_similarity,word_error_rate,exact_match,clause_level_precision,clause_level_recall,clause_level_f1,bleu_score,rouge_1,rouge_2,rouge_l
phi,0.134,0.093,0.049,0.003,0.0,0.11,0.45,0.174,0.003,0.338,0.17,0.268
lfm,0.217,0.223,0.108,0.006,0.0,0.41,0.396,0.388,0.002,0.531,0.287,0.469
gemma_1,0.261,0.245,0.129,0.007,0.0,0.366,0.407,0.377,0.0,0.542,0.31,0.474
gemma_2,0.119,0.078,0.059,0.003,0.0,0.09,0.438,0.148,0.002,0.323,0.159,0.259
llama,0.101,0.012,0.007,0.003,0.0,0.025,0.05,0.031,0.0,0.134,0.042,0.112
mistral,0.116,0.085,0.04,0.003,0.0,0.1,0.415,0.156,0.001,0.326,0.16,0.255
